created_at,sentimental_value,sentiment_value_r,hashtags
Sat Mar 21 15:20:15 +0000 2020,0,0,SouthKolkata CoronaAwareness
Sat Mar 21 14:11:08 +0000 2020,-0.166666667,-1,precautions safetymeasures corona virus thistooshallpass stayhome staysafe staycalm Janatacurfew
Sat Mar 21 14:44:07 +0000 2020,0,0,Southindia summerrain thunder water pollachi Coimbatore coronavirus corona covid19 covid19 daschund dinner weekend
Sat Mar 21 15:22:41 +0000 2020,0.05625,1,DigitalMarketer corona COVID
Sat Mar 21 15:25:16 +0000 2020,-0.3,-1,janatacurfew janatacurfewindia fightagainstcorona
Sat Mar 21 13:55:43 +0000 2020,-0.2,-1,corona coronavirus jantacurfew coronamemes coronavirusmemes coronaindia
Sat Mar 21 14:45:22 +0000 2020,0,0,Wash
Sat Mar 21 14:58:55 +0000 2020,0,0,nan
Sat Mar 21 14:24:54 +0000 2020,0,0,chance
Sat Mar 21 14:47:53 +0000 2020,0.268939394,1,quarantine leavethefuck corona
Sat Mar 21 14:51:00 +0000 2020,0.192424242,1,nan
Sat Mar 21 15:52:35 +0000 2020,-0.0375,-1,staysafe stayhome fightcorona cafeinkolkata Russiancafe
Sat Mar 21 16:31:06 +0000 2020,0,0,corona
Sat Mar 21 16:49:03 +0000 2020,0,0,gocoronago
Sat Mar 21 16:22:57 +0000 2020,0.136363636,1,nan
Sat Mar 21 17:57:15 +0000 2020,0.25,1,jantacurfew besafe beathome corona fightwithcorona vadodara ourvadodara baroda
Sat Mar 21 18:25:19 +0000 2020,0.1,1,quarantine intimesofcoronabav somewhereinbanguravenue dreamermagazine photography photostory igers kolkata
Sat Mar 21 17:55:20 +0000 2020,0,0,corona covid19 staysafe jantacurfew support orientalconsultants jobs jobsearch success motivation lucknowfoodies lucknowcity
Sat Mar 21 16:59:09 +0000 2020,-0.4,-1,covid19 corona
Sat Mar 21 17:13:31 +0000 2020,0.625,1,namaste indianculture corona
Sat Mar 21 19:36:01 +0000 2020,-0.05,-1,COVID2019 China chinesevirus2020 coronarvirus corona coronavirusindia president
Sat Mar 21 18:43:58 +0000 2020,0,0,tbh bornoninstagram bengali snapchat snapchat snapchat addmeonsnapchat snapchatmegirl snapchatme fff ff flf flowersofinstagram
Sat Mar 21 18:52:56 +0000 2020,0,0,home quarantine rajasthan world jaipur selfportrait architecture learn unlearn create vsco india instagram huaweiphotoclub creative natgeo potrait corona besafe
Sat Mar 21 18:32:44 +0000 2020,0,0,Salute Fight Corona and hats takecareyourself WedefinitelyweWin support
Sat Mar 21 18:26:47 +0000 2020,0.241666667,1,besafe coronafreeworld corona nojoke culturootwordwide culturoot culturootteam india
Sat Mar 21 18:55:08 +0000 2020,0.13,1,jantacurfew india coronavirus corona coronavirusoutbreak edtech maharashtra mumbai education covid19 eLearning staysafe studycloud
Sat Mar 21 19:30:29 +0000 2020,0,0,debatinglife corona covid19 fight
Sat Mar 21 18:37:56 +0000 2020,0,0,Repost
Sat Mar 21 20:08:31 +0000 2020,0.5,1,nan
Sat Mar 21 21:04:17 +0000 2020,0.2,1,nan
Sat Mar 21 20:08:31 +0000 2020,0.447222222,1,Sunday Corona Volunteer JanathaCurfew Family India
Sat Mar 21 20:29:58 +0000 2020,0.2,1,march jantacurfew quarantine news italy
Sat Mar 21 22:16:52 +0000 2020,0.136363636,1,nan
Sat Mar 21 23:50:38 +0000 2020,0,0,corona
Sat Mar 21 22:20:36 +0000 2020,0,0,Coronavirus
Sun Mar 22 01:20:26 +0000 2020,0.15,1,jantacurfew indianeedshelp saveindia corona virus coronavirus beatthevirus besafe breakthechains
Sun Mar 22 01:45:03 +0000 2020,0,0,nan
Sun Mar 22 03:02:26 +0000 2020,0,0,WeSupport JantaCurfew 22march
Sun Mar 22 04:01:06 +0000 2020,0.166666667,1,Corona everything temporary work gym malls movies society toss learning live
Sun Mar 22 03:09:25 +0000 2020,-0.016111111,-1,nan
Sun Mar 22 02:51:25 +0000 2020,0,0,jantacurfew coronavirus coronaextra coronadelmar gujarati news update vaccin america india hindi handwash cleaneating food drinks fever heart life
Sun Mar 22 03:35:10 +0000 2020,0.5,1,nan
